#Rank,University,Town
261,Universitas Islam Balitar,Blitar
262,Universitas Indo Global Mandiri,Palembang
263,Universitas Widya Gama,Malang
264,Universitas Majalengka,Majalengka
265,Universitas Muhammadiyah Bengkulu,Bengkulu
266,Universitas Klabat,Minahasa Utara
267,Universitas Respati Indonesia,Jakarta
268,Universitas Muhammadiyah Gorontalo,Gorontalo
269,Universitas Islam Kadiri,Kediri
270,Universitas Jayabaya,Jakarta
271,Universitas Janabadra,Yogyakarta
272,Universitas Cokroaminoto Palopo,Palopo
273,Universitas Katolik Musi Charitas,Palembang
274,Universitas Dirgantara Marsekal Suryadarma,Jakarta
275,Universitas Kadiri,Kediri
276,Universitas Ngudi Waluyo,Ungaran
277,Universitas Pahlawan Tuanku Tambusai,Kampar ...
278,Universitas Setia Budi Surakarta,Surakarta
279,Universitas Islam 45 Bekasi,Bekasi
280,Universitas Gorontalo,Gorontalo
281,Universitas Widya Kartika,Surabaya
282,Universitas Muhammadiyah Aceh,Banda Aceh
283,Institut Seni Indonesia Padang Panjang,Padangpanjang
284,Universitas Islam Syekh-Yusuf,Tangerang
285,Universitas Bhayangkara Surabaya,Surabaya
286,Universitas Muhammadiyah Sukabumi,Sukabumi
287,Universitas Muhammadiyah Banjarmasin,Banjarmasin
288,Universitas Cokroaminoto Yogyakarta,Yogyakarta
289,Universitas Podomoro,Jakarta
290,Universitas Hindu Indonesia,Denpasar
291,Universitas Samudra Langsa,Langsa
292,Universitas Nurul Jadid,Probolinggo
293,Universitas Nahdlatul Ulama Blitar,Blitar
294,Universitas Lintas Internasional Indonesia,BSD City
295,Universitas Maarif Hasyim Latif,Sidoarjo
296,Universitas Trilogi,Jakarta
297,Universitas Pekalongan,Pekalongan
298,Universitas Muhammadiyah Luwuk Banggai,Banggai
299,Universitas Dehasen Bengkulu,Bengkulu
300,Universitas Riau Kepulauan,Batam
301,Universitas Muhammadiyah Tapanuli Selatan,Padang Sidempuan
302,Universitas Putra Indonesia YPTK Padang,Padang
303,Universitas Gresik,Gresik
304,Universitas Muhammadiyah Tasikmalaya,Tasikmalaya
305,Universitas Veteran Bangun Nusantara,Sukoharjo
306,Universitas Langlangbuana,Bandung
307,Universitas Borobudur,Jakarta
308,Universitas Nahdlatul Ulama Sidoarjo,Sidoarjo
309,Universitas Kebangsaan,Bandung
310,Universitas Fajar,Makassar
311,Universitas Sembilanbelas November Kolaka,Kolaka
312,Universitas Teknologi Sumbawa,Sumbawa
313,Universitas Merdeka Pasuruan,Pasuruan
314,Universitas Ekasakti,Padang
315,Universitas KH. A. Wahab Hasbullah,Kabupaten Jombang
316,Universitas Asahan,Asahan
317,Universitas Muslim Nusantara Al-Washliyah,Medan
318,Universitas Duta Bangsa Surakarta,Surakarta
319,Universitas Proklamasi 45,Sleman
320,Universitas Dian Nusantara,Medan
321,Universitas Subang,Subang
322,Universitas Prof. DR. Hazairin SH.,Bengkulu
323,Universitas Wisnuwardhana,Malang
324,Universitas Hasyim Asy'ari,Jombang
325,Universitas Surakarta,Surakarta
326,Universitas PGRI Banyuwangi,Banyuwangi
327,Universitas Cokroaminoto Makassar,Makassar
328,Universitas Nahdlatul Ulama Indonesia,Jakarta
329,Universitas Nahdlatul Ulama Al Ghazali,Cilacap
330,Universitas Wijaya Kusuma Purwokerto,Purwokerto
331,Universitas Islam Jember,Jember
332,Universitas Widya Mataram,Yogyakarta
333,Universitas Sahid,Jakarta
334,Universitas Muhammadiyah Parepare,Parepare
335,Universitas Surya,Tangerang
336,Universitas Katolik Santo Thomas,Medan
